Designator,Mid X,Mid Y,Rotation,Layer
C1,169.3,-68.82,180.0,top
C10,118.175,-73.505,90.0,top
C11,129.675,-75.975,270.0,top
C12,127.675,-75.975,270.0,top
C13,186.025,-83.9,270.0,top
C14,181.525,-83.95,270.0,top
C15,150.825,-71.43,270.0,top
C16,150.825,-73.255,270.0,top
C17,148.4,-75.055,0.0,top
C18,140.175,-71.23,90.0,top
C19,143.175,-71.1,90.0,top
C2,169.3,-66.81,180.0,top
C20,148.255,-79.105,0.0,top
C21,148.25,-77.25,0.0,top
C22,141.7,-83.2,270.0,top
C23,148.25,-78.18,0.0,top
C24,136.22,-78.03,180.0,top
C25,159.55,-82.975,270.0,top
C26,136.425,-75.13,180.0,top
C27,141.15,-71.23,90.0,top
C28,145.55,-71.25,90.0,top
C29,158.625,-82.975,270.0,top
C3,170.8,-74.81,270.0,top
C30,136.445,-79.93,180.0,top
C31,136.445,-76.055,180.0,top
C32,185.745,-67.5,90.0,top
C33,184.745,-67.52,90.0,top
C34,174.8,-90.4,90.0,top
C35,154.2,-90.2,90.0,top
C36,130.0,-90.12,90.0,top
C37,108.5,-90.3,90.0,top
C38,139.5,-83.08,270.0,top
C39,148.4,-74.13,0.0,top
C4,169.8,-74.81,270.0,top
C40,113.375,-81.175,180.0,top
C41,186.025,-80.45,90.0,top
C42,181.525,-80.45,90.0,top
C43,142.65,-83.2,270.0,top
C44,147.8,-80.98,90.0,top
C5,160.3,-69.81,90.0,top
C6,158.3,-69.81,90.0,top
C7,119.625,-78.515,0.0,top
C8,119.625,-80.525,0.0,top
C9,117.175,-73.525,90.0,top
D1,183.775,-82.45,90.0,top
D2,187.3,-101.8,270.0,top
D3,169.9,-101.8,270.0,top
D4,165.0,-101.8,270.0,top
D5,147.5,-101.8,270.0,top
D6,125.2,-101.8,270.0,top
D7,142.7,-101.8,270.0,top
D8,102.8,-101.8,270.0,top
D9,120.4,-101.8,270.0,top
J1,178.6,-94.9165,0.0,top
J2,178.945,-68.7,180.0,top
J3,156.266667,-94.9165,0.0,top
J31,107.325,-75.95,270.0,top
J4,133.933333,-94.9165,0.0,top
J5,111.6,-94.9165,0.0,top
L1,164.8,-73.81,180.0,top
L2,123.2,-72.025,0.0,top
L3,152.75,-81.6,180.0,top
R1,172.3,-69.31,180.0,top
R10,115.675,-72.025,0.0,top
R11,150.285,-75.025,180.0,top
R12,180.025,-82.18,90.0,top
R13,180.025,-84.04,270.0,top
R14,146.575,-83.12,270.0,top
R16,150.46,-77.55,180.0,top
R17,152.325,-77.55,180.0,top
R18,174.8,-88.5,90.0,top
R19,169.6,-89.1,90.0,top
R2,172.3,-74.31,0.0,top
R20,169.91,-99.6,180.0,top
R21,157.7,-81.125,270.0,top
R23,147.5,-99.65,180.0,top
R24,149.1,-89.1,90.0,top
R25,154.2,-88.3,270.0,top
R26,125.175,-99.625,180.0,top
R27,124.8,-88.99,90.0,top
R28,130.0,-88.2,90.0,top
R29,102.8,-99.6,180.0,top
R3,172.3,-73.31,180.0,top
R30,103.4,-88.9,90.0,top
R31,108.5,-88.4,90.0,top
R32,145.1864,-101.1174,0.0,top
R36,179.075,-84.04,90.0,top
R37,179.075,-82.18,90.0,top
R38,178.125,-82.18,90.0,top
R39,178.125,-84.04,90.0,top
R4,172.3,-76.31,180.0,top
R42,176.98,-74.9,180.0,top
R43,180.9,-77.0,0.0,top
R44,103.775,-84.3,90.0,top
R45,114.025,-82.985,90.0,top
R48,187.745,-69.92,90.0,top
R49,187.745,-71.78,90.0,top
R5,172.29,-75.31,180.0,top
R6,116.175,-78.025,0.0,top
R7,115.675,-73.025,0.0,top
R8,115.675,-74.025,180.0,top
R9,115.675,-75.025,0.0,top
U1,170.8,-71.31,270.0,top
U2,117.925,-75.765,90.0,top
U3,142.3495,-77.155,0.0,top
U4,185.995,-70.15,180.0,top
U5,172.2,-89.6,0.0,top
U6,151.6375,-89.65,0.0,top
U7,127.4,-89.5,0.0,top
U8,105.95,-89.47,0.0,top
U9,108.9125,-84.13,270.0,top
Y1,148.95,-72.355,0.0,top
